NOME DO MUNICÍPIO;CO_ENTIDADE;NO_ENTIDADE;Endereço;Escola;Dependência Administrativa;Conveniada Poder Público;Latitude;Longitude;Município;Localização;Matrículas;Escolas
Jaboatão dos Guararapes;26187078;CEMEI PROFESSORA MARLUCIA EVANGELISTA DE SOUZA;RUA CATANDUVAS, 51 BARRA DE JANGADA. 54495-180 Jaboatão dos Guararapes - PE.;CEMEI PROFESSORA MARLUCIA EVANGELISTA DE SOUZA;Municipal;Não;-8,227843917;-34,94150463;Jaboatão dos Guararapes;Urbana;40;1
Jaboatão dos Guararapes;26137739;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROF SIMONE PATRICIA FERREIRA DA SILVA;RUA CAXIAS DO SUL, 398 BARRA DE JANGADA. 54470-030 Jaboatão dos Guararapes - PE.;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROF SIMONE PATRICIA FERREIRA DA SILVA;Municipal;Não;-8,2213797;-34,9311044;Jaboatão dos Guararapes;Urbana;82;1
Jaboatão dos Guararapes;26187663;CRECHE MERCIA DE ALBUQUERQUE;RUA DA INDEPENDENCIA, 1000 BARRA DE JANGADA. 54470-190 Jaboatão dos Guararapes - PE.;CRECHE MERCIA DE ALBUQUERQUE;Municipal;Não;-8,220693333;-34,93128833;Jaboatão dos Guararapes;Urbana;35;1
Jaboatão dos Guararapes;26186080;CEMEI SILVIA MARIA DE OLIVEIRA;RUA JURITI, SN SOTAVE. 54340-080 Jaboatão dos Guararapes - PE.;CEMEI SILVIA MARIA DE OLIVEIRA;Municipal;Não;-8,2107764;-34,9604303;Jaboatão dos Guararapes;Urbana;85;1
Jaboatão dos Guararapes;26183838;CEMEI PROFESSORA MARIA DE FATIMA DA SILVA;RUA ITAITUBA, SN JARDIM PRAZERES. 54340-060 Jaboatão dos Guararapes - PE.;CEMEI PROFESSORA MARIA DE FATIMA DA SILVA;Municipal;Não;-8,197222;-34,95693;Jaboatão dos Guararapes;Urbana;42;1
Jaboatão dos Guararapes;26187060;CEMEI PROFESSORA MARIA LUZIA RIO LIMA;RUA ARPIRITUBA, S/N COMPORTAS. 54345-090 Jaboatão dos Guararapes - PE.;CEMEI PROFESSORA MARIA LUZIA RIO LIMA;Municipal;Não;-8,18673719;-34,96365946;Jaboatão dos Guararapes;Urbana;73;1
Jaboatão dos Guararapes;26137690;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA MARINALVA MARIA VICENTE;RUA ROSA MESQUITA, 31 MURIBECA. 54350-340 Jaboatão dos Guararapes - PE.;CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA MARINALVA MARIA VICENTE;Municipal;Não;-8,160865176;-34,95679675;Jaboatão dos Guararapes;Urbana;24;1
Jaboatão dos Guararapes;26189070;CRECHE PROFESSORA SILVIA CRISTINA SANTOS BOTELHO;RUA FLORES BELAS, 30 JARDIM JORDAO. 54315-325 Jaboatão dos Guararapes - PE.;CRECHE PROFESSORA SILVIA CRISTINA SANTOS BOTELHO;Municipal;Não;-8,15253;-34,93614;Jaboatão dos Guararapes;Urbana;65;1
Jaboatão dos Guararapes;26109255;CEMEI ELIEL EUSTAQUIO DA SILVA;RUA SAO BENTO, 1244 1244. JARDIM JORDAO. 54320-050 Jaboatão dos Guararapes - PE.;CEMEI ELIEL EUSTAQUIO DA SILVA;Municipal;Não;-8,148601907;-34,93519432;Jaboatão dos Guararapes;Urbana;20;1
Jaboatão dos Guararapes;26109530;ESCOLA MUNICIPAL JOAO FERNANDES VIEIRA;RUA SAO BENTO, S/N JARDIM JORDAO. 54320-050 Jaboatão dos Guararapes - PE.;CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOAO FERNANDES VIEIRA;Municipal;Não;-8,143868;-34,93088;Jaboatão dos Guararapes;Urbana;38;1
Jaboatão dos Guararapes;26156288;CEMEI MARCOS FREIRE;AVENIDA BARRETO DE MENEZES, S/N MARCOS FREIRE. 54360-160 Jaboatão dos Guararapes - PE.;CEMEI MARCOS FREIRE;Municipal;Não;-8,134996;-34,97601;Jaboatão dos Guararapes;Urbana;88;1
Recife;26156610;CRECHE ESC RECIFE DO IBURA-;RUA FRANCISCO VITORIANO, S/N UR 10. COHAB. 51310-000 Recife - PE.;CRECHE ESCOLA RECIFE DO IBURA;Municipal;Não;-8,1342753;-34,949322;Recife;Urbana;116;1
Jaboatão dos Guararapes;26188333;CENTRO MUNICIPAL DE EDUCACAO INFANTIL CEMEI PROFESSORA MARIA JOSE DA SILVA;RUA AMAZONAS, S/N LOTE 92. 54090-410 Jaboatão dos Guararapes - PE.;CENTRO MUNICIPAL DE EDUCACAO INFANTIL CEMEI PROFESSORA MARIA JOSE DA SILVA;Municipal;Não;-8,132185;-35,03267667;Jaboatão dos Guararapes;Urbana;38;1
Recife;26185679;CRECHE ESC RECIFE GOVERNADOR EDUARDO CAMPOS;RUA VALE DO CARIRI, S/N COHAB. 51300-000 Recife - PE.;CRECHE ESC RECIFE GOVERNADOR EDUARDO CAMPOS;Municipal;Não;-8,13201846;-34,94859688;Recife;Urbana;98;1
